method,subject,budget_k,snr_order,snr_label,snr_db,balanced_accuracy,n_observations,n_directions,n_model_seeds,n_channel_realizations
FBCSP + PCA,2,16,7,noise_free,,0.4880464436940083,120,2,3,20
FBCSP + PCA,2,32,0,-10_dB,-10.0,0.3318172056674718,120,2,3,20
FBCSP + PCA,2,32,1,-5_dB,-5.0,0.383718877214954,120,2,3,20
FBCSP + PCA,2,32,2,0_dB,0.0,0.4419783710345897,120,2,3,20
FBCSP + PCA,2,32,3,5_dB,5.0,0.4836804919330593,120,2,3,20
FBCSP + PCA,2,32,4,10_dB,10.0,0.519114159606405,120,2,3,20
FBCSP + PCA,2,32,5,15_dB,15.0,0.530487096442796,120,2,3,20
FBCSP + PCA,2,32,6,20_dB,20.0,0.5358756473495585,120,2,3,20
FBCSP + PCA,2,32,7,noise_free,,0.5363724500204184,120,2,3,20
FBCSP + PCA,2,64,0,-10_dB,-10.0,0.3452073286859338,120,2,3,20
FBCSP + PCA,2,64,1,-5_dB,-5.0,0.3904753879331583,120,2,3,20
FBCSP + PCA,2,64,2,0_dB,0.0,0.4502687931063505,120,2,3,20
FBCSP + PCA,2,64,3,5_dB,5.0,0.481215619988091,120,2,3,20
FBCSP + PCA,2,64,4,10_dB,10.0,0.5062909444924589,120,2,3,20
FBCSP + PCA,2,64,5,15_dB,15.0,0.513327325439527,120,2,3,20
FBCSP + PCA,2,64,6,20_dB,20.0,0.5137944088836849,120,2,3,20
FBCSP + PCA,2,64,7,noise_free,,0.5156031250451031,120,2,3,20
FBCSP + PCA,3,16,0,-10_dB,-10.0,0.4184107411178736,120,2,3,20
FBCSP + PCA,3,16,1,-5_dB,-5.0,0.5218474258423013,120,2,3,20
FBCSP + PCA,3,16,2,0_dB,0.0,0.6397900215358202,120,2,3,20
FBCSP + PCA,3,16,3,5_dB,5.0,0.7065664765748984,120,2,3,20
FBCSP + PCA,3,16,4,10_dB,10.0,0.7397305009279782,120,2,3,20
FBCSP + PCA,3,16,5,15_dB,15.0,0.7497392402283707,120,2,3,20
FBCSP + PCA,3,16,6,20_dB,20.0,0.7526118480177748,120,2,3,20
FBCSP + PCA,3,16,7,noise_free,,0.7561765809601917,120,2,3,20
FBCSP + PCA,3,32,0,-10_dB,-10.0,0.4549964132212576,120,2,3,20
FBCSP + PCA,3,32,1,-5_dB,-5.0,0.5651507884902334,120,2,3,20
FBCSP + PCA,3,32,2,0_dB,0.0,0.6771094600382186,120,2,3,20
FBCSP + PCA,3,32,3,5_dB,5.0,0.7368549423240084,120,2,3,20
